BA,Month,Hour,Transportation_Load_Penetration_Percentage
BANC,10,10,5.21
BANC,10,10,5.69
BANC,10,10,6.32
BANC,11,11,9.04
BANC,11,11,9.9
BANC,11,11,8.5
BANC,11,11,7.4
BANC,11,11,6.78
BANC,11,11,6.25
BANC,11,11,5.63
BANC,11,11,4.83
BANC,11,11,4.09
BANC,11,11,3.64
BANC,11,11,3.26
BANC,11,11,3.04
BANC,11,11,3.16
BANC,11,11,3.7
BANC,11,11,4.82
BANC,11,11,6.62
BANC,11,11,6.72
BANC,11,11,6.44
BANC,11,11,6.15
BANC,11,11,6.21
BANC,11,11,6.26
BANC,11,11,6.44
BANC,11,11,6.91
BANC,11,11,7.8
BANC,12,12,9.79
BANC,12,12,9.07
BANC,12,12,8.15
BANC,12,12,7.36
BANC,12,12,6.77
BANC,12,12,6.06
BANC,12,12,5.37
BANC,12,12,4.46
BANC,12,12,3.82
BANC,12,12,3.4
BANC,12,12,3.04
BANC,12,12,2.85
BANC,12,12,2.9
BANC,12,12,3.28
BANC,12,12,4.88
BANC,12,12,6.86
BANC,12,12,6.58
BANC,12,12,6.16
BANC,12,12,5.8
BANC,12,12,5.97
BANC,12,12,5.95
BANC,12,12,6.11
BANC,12,12,6.74
BANC,12,12,7.51
BPAT,1,1,3.97
BPAT,1,1,4.06
BPAT,1,1,3.67
BPAT,1,1,3.11
BPAT,1,1,2.8
BPAT,1,1,2.53
BPAT,1,1,2.33
BPAT,1,1,1.83
BPAT,1,1,1.46
BPAT,1,1,1.24
BPAT,1,1,1.06
BPAT,1,1,0.93
BPAT,1,1,0.96
BPAT,1,1,1.31
BPAT,1,1,1.71
BPAT,1,1,2.49
BPAT,1,1,2.5
BPAT,1,1,2.35
BPAT,1,1,2.24
BPAT,1,1,2.37
BPAT,1,1,2.5
BPAT,1,1,2.64
BPAT,1,1,3.08
BPAT,1,1,3.76
BPAT,2,2,4.37
BPAT,2,2,4.37
BPAT,2,2,3.84
BPAT,2,2,3.18
BPAT,2,2,2.88
BPAT,2,2,2.61
BPAT,2,2,2.26
BPAT,2,2,1.8
BPAT,2,2,1.48
BPAT,2,2,1.25
BPAT,2,2,1.06
BPAT,2,2,0.93
BPAT,2,2,0.95
BPAT,2,2,1.31
BPAT,2,2,1.88
BPAT,2,2,2.54
BPAT,2,2,2.51
BPAT,2,2,2.43
BPAT,2,2,2.28
BPAT,2,2,2.45
BPAT,2,2,2.66
BPAT,2,2,2.78
BPAT,2,2,3.12
BPAT,2,2,3.34
BPAT,3,3,4.23
BPAT,3,3,4.48
BPAT,3,3,4.04
BPAT,3,3,3.38
BPAT,3,3,3.13
BPAT,3,3,2.76
BPAT,3,3,2.37
BPAT,3,3,1.88
BPAT,3,3,1.51
BPAT,3,3,1.26
BPAT,3,3,1.07
BPAT,3,3,0.93
BPAT,3,3,0.96
BPAT,3,3,1.34
BPAT,3,3,1.88
BPAT,3,3,2.48
BPAT,3,3,2.6
BPAT,3,3,2.58
BPAT,3,3,2.44
BPAT,3,3,2.63
BPAT,3,3,2.87
BPAT,3,3,3.0
BPAT,3,3,3.35
BPAT,3,3,3.61
BPAT,4,4,4.37
BPAT,4,4,4.75
BPAT,4,4,4.34
BPAT,4,4,3.71
BPAT,4,4,3.37
BPAT,4,4,3.02
BPAT,4,4,2.62
BPAT,4,4,2.15
BPAT,4,4,1.81
BPAT,4,4,1.5
BPAT,4,4,1.33
BPAT,4,4,1.16
BPAT,4,4,1.07
BPAT,4,4,1.47
BPAT,4,4,1.91
BPAT,4,4,2.7
BPAT,4,4,2.81
BPAT,4,4,2.7
BPAT,4,4,2.53
BPAT,4,4,2.6
BPAT,4,4,2.73
BPAT,4,4,2.83
BPAT,4,4,3.33
BPAT,4,4,3.86
BPAT,5,5,4.01
BPAT,5,5,4.27
BPAT,5,5,3.74
BPAT,5,5,3.45
BPAT,5,5,3.32
BPAT,5,5,2.81
BPAT,5,5,2.46
BPAT,5,5,1.89
BPAT,5,5,1.55
BPAT,5,5,1.32
BPAT,5,5,1.17
BPAT,5,5,1.03
BPAT,5,5,1.1
BPAT,5,5,1.36
BPAT,5,5,2.06
BPAT,5,5,2.91
BPAT,5,5,2.86
BPAT,5,5,2.71
BPAT,5,5,2.53
BPAT,5,5,2.56
BPAT,5,5,2.46
BPAT,5,5,2.56
BPAT,5,5,2.87
BPAT,5,5,3.35
BPAT,6,6,3.66
BPAT,6,6,3.97
BPAT,6,6,3.81
BPAT,6,6,3.25
BPAT,6,6,2.92
BPAT,6,6,2.62
BPAT,6,6,2.32
BPAT,6,6,1.85
BPAT,6,6,1.51
BPAT,6,6,1.28
BPAT,6,6,1.12
BPAT,6,6,1.03
BPAT,6,6,1.09
BPAT,6,6,1.4
BPAT,6,6,2.12
BPAT,6,6,3.03
BPAT,6,6,2.93
BPAT,6,6,2.54
BPAT,6,6,2.32
BPAT,6,6,2.33
BPAT,6,6,2.39
BPAT,6,6,2.35
BPAT,6,6,2.7
BPAT,6,6,3.36
BPAT,7,7,3.14
BPAT,7,7,3.41
BPAT,7,7,3.34
BPAT,7,7,3.0
BPAT,7,7,2.57
BPAT,7,7,2.37
BPAT,7,7,2.04
BPAT,7,7,1.65
BPAT,7,7,1.39
BPAT,7,7,1.18
BPAT,7,7,1.04
BPAT,7,7,0.97
BPAT,7,7,1.1
BPAT,7,7,1.56
BPAT,7,7,2.05
BPAT,7,7,2.87
BPAT,7,7,2.79
BPAT,7,7,2.4
BPAT,7,7,2.14
BPAT,7,7,2.18
BPAT,7,7,2.66
BPAT,7,7,2.4
BPAT,7,7,2.42
BPAT,7,7,2.78
BPAT,8,8,3.43
BPAT,8,8,3.74
BPAT,8,8,3.86
BPAT,8,8,3.16
BPAT,8,8,2.83
BPAT,8,8,2.68
BPAT,8,8,2.56
BPAT,8,8,1.91
BPAT,8,8,1.6
BPAT,8,8,1.42
BPAT,8,8,1.2
BPAT,8,8,1.07
BPAT,8,8,1.16
BPAT,8,8,1.49
BPAT,8,8,2.21
BPAT,8,8,3.15
BPAT,8,8,2.94
BPAT,8,8,2.52
BPAT,8,8,2.26
BPAT,8,8,2.22
